Категория;Товар;Цена;ID валюты;Адрес;Видим;Рекомендуемый;Бренд;Вариант;Старая цена;Артикул;Склад;ISBN
Для детей/Творчество и досуг;Подарок Julia Donaldson Adio CD;0.01;1;julia-donaldson-audio-collection---10-cds;0;0;Pan Macmillan;;3.47;11993;3;
Для детей/Художественные;Julia Donaldson Picture Book Collection - 10 Books;45;1;julia-donaldson-picture-book-collection---10-books_2;1;0;Pan Macmillan;;70;16027;1;9.78151E+12
Для детей/Развивающие;My First Animal Friends;11;1;my-first-animal-friends;0;0;Campbell;;15.96;16036;1;9.78151E+12
Для детей/Художественные;Книга-комплимент;0.01;2;kniga-kompliment;0;0;Usborne;;;10000;48;9.78141E+12
Для детей/Познавательные;Why do we need bees?;9.99;1;why-do-we-need-bees;1;0;Usborne;;;16043;1;9.78147E+12
Для детей/Познавательные;Lift-the-flap questions and answers about nature;9.99;1;lift-the-flap-questions-and-answers-about-nature;1;0;Usborne;;;16044;0;9.78147E+12
Для детей/Познавательные;Lift-the-flap first sizes and measuring;9.99;1;lift-the-flap-first-sizes-and-measuring;1;0;Usborne;;;16045;1;9.78147E+12
Для детей/Познавательные;In the Wild;4.99;1;in-the-wild;1;0;Alligator;;;16047;1;9.78086E+12
Для детей/Познавательные;Animal Friends;4.99;1;animal-friends;1;0;Alligator;;;16048;1;9.78086E+12
Для детей/Познавательные;Ocean Creatures;4.99;1;ocean-creatures;1;0;Alligator;;;16049;1;9.78086E+12
Для детей/Познавательные;Flags Sticker Book;8;1;flags-sticker-book;1;0;Alligator;;;16050;1;9.78086E+12
Для детей/Развивающие;I can colour ABC;4.5;1;i-can-colour-abc;1;0;Alligator;;;16051;1;9.78086E+12
Для детей/Творчество и досуг;Paint with water - Poster book;3;1;paint-with-water---poster-book;1;0;Alligator;;;16052;1;9.78086E+12
Для детей/Познавательные;Dinosaur Dictionary;8;1;dinosaur-dictionary;1;0;Cupcake;;;16053;1;9.78185E+12
Для детей/Художественные;The First Christmas Tree;6;1;the-first-christmas-tree;1;0;Miles Kelly;;;16054;1;9.78178E+12
Для детей/Художественные;The Little Book of BOY'S Fairy Tales;5.5;1;the-little-book-of-boys-fairy-tales;1;0;Alligator;;;16055;1;9.78086E+12
Для детей/Художественные;The Little Book of Princess Tales;5.5;1;the-little-book-of-princess-tales;1;0;Alligator;;;16058;1;9.78185E+12
Для детей/Художественные;The Little Book of Nursery Rhymes;5.5;1;the-little-book-of-nursery-rhymes;1;0;Alligator;;;16056;0;9.78184E+12
Для детей/Художественные;The Little Book of Bedtime Stories;5.5;1;the-little-book-of-bedtime-stories;1;0;Alligator;;;16057;1;9.78086E+12
Для детей/Художественные;Stop Monkeying Around;8;1;stop-monkeying-around;1;0;Cupcake;;9.99;16059;1;9.78086E+12
Для детей/Художественные;Bobby knows best;8;1;bobby-knows-best;1;0;Cupcake;;9.99;16060;0;9.78086E+12
Для детей/Художественные;Little Mouse finds a Friend;8;1;little-mouse-finds-a-friend;1;0;Cupcake;;9.99;16061;1;9.78086E+12
Для детей/Художественные;Charlie and the Cheesemonster;8;1;charlie-and-the-cheesemonster;1;0;Cupcake;;9.99;16062;1;9.78086E+12
Для детей/Художественные;Mr. Wrinkles;8;1;mr-wrinkles;1;0;Cupcake;;9.99;16063;1;9.78086E+12
Для детей/Художественные;Little Bear Won't Sleep!;8;1;little-bear-wont-sleep;1;0;Cupcake;;9.99;16064;2;9.78086E+12
Для детей/Художественные;Squeak the Lion;8;1;squeak-the-lion;1;0;Cupcake;;9.99;16065;1;9.78086E+12
Для детей/Художественные;I love you Honey Bunny;8;1;i-love-you-honey-bunny;1;0;Cupcake;;9.99;16066;1;9.78086E+12
Для детей/Творчество и досуг;Colouring and Activity Placemats - Fisher Price;8.5;1;colouring-and-activity-placemats---fisher-price;1;0;Alligator;;9.99;16067;1;9.78086E+12
Для детей/Творчество и досуг;Artist Pad - Fisher Price;8.9;1;artist-pad---fisher-price;1;0;Alligator;;9.99;16070;1;9.78086E+12
Для детей/Творчество и досуг;Girls Artist Pad;8.9;1;girls-artist-pad;1;0;Alligator;;9.99;16068;1;9.78086E+12
Для детей/Творчество и досуг;Boys Artist Pad;8.9;1;boys-artist-pad;1;0;Alligator;;9.99;16071;1;9.78086E+12
Для детей/Творчество и досуг;Dinosaur Artist Pad;8.9;1;dinosaur-artist-pad;1;0;Alligator;;9.99;16072;1;9.78086E+12
Для детей/Творчество и досуг;Pirate Sticker Activity Book;1.1;1;pirate-sticker-activity-book;1;0;W. F. Graham;;;16069;6;9.78185E+12
Для детей/Художественные;Ugly Duckling and other Fairytales;7;1;ugly-duckling-and-other-fairytales;1;0;Igloo;;;16073;1;9.78178E+12
Для детей/Развивающие;Book Block Tower - 8 книг;11;1;book-block-tower---8-knig;1;0;Alligator;;13;16074;1;9.78086E+12
Для взрослых/Учебные;Essential Manager: Achieving High Performance;5.04;1;essential-manager-achieving-high-performance;1;0;Dorling Kindersley;;;L30655;1;9.78024E+12
Для взрослых/Учебные;English for Everyone Business English 2 Practice Book;9.33;1;english-for-everyone-business-english-2-practice-book;1;0;Dorling Kindersley;;;L30654;1;9.78024E+12
Для взрослых/Учебные;English for Everyone Business English 2 Course Book;12.13;1;english-for-everyone-business-english-2-course-book;1;0;Dorling Kindersley;;;L30653;1;9.78024E+12
Для взрослых/Учебные;English for Everyone Business English 1 Practice Book;9.33;1;english-for-everyone-business-english-1-practice-book;1;0;Dorling Kindersley;;;L30652;1;9.78024E+12
Для взрослых/Учебные;English for Everyone Business English 1 Course Book;12.13;1;english-for-everyone-business-english-1-course-book;1;0;Dorling Kindersley;;;L30651;1;9.78024E+12
Для взрослых/Учебные;English for Everyone 4 Advanced Practice Book: A Complete Self-Study Programme;12.13;1;english-for-everyone-4-advanced-practice-book-a-complete-self-study-programme;1;0;Dorling Kindersley;;;L30650;1;9.78024E+12
Для взрослых/Учебные;English for Everyone 4 Advanced Course Book: A Complete Self-Study Programme;14;1;english-for-everyone-4-advanced-course-book-a-complete-self-study-programme;1;0;Dorling Kindersley;;;L30649;1;9.78024E+12
Для взрослых/Учебные;English for Everyone 3 Intermediate Practice Book: A Complete Self-Study Programme;12.13;1;english-for-everyone-3-intermediate-practice-book-a-complete-self-study-programme;1;0;Dorling Kindersley;;;L30648;1;9.78024E+12
Для взрослых/Учебные;English for Everyone 3 Intermediate Course Book: A Complete Self-Study Programme;14;1;english-for-everyone-3-intermediate-course-book-a-complete-self-study-programme;1;0;Dorling Kindersley;;;L30647;1;9.78024E+12
Для взрослых/Учебные;English for Everyone 2 Beginner Practice Book: A Complete Self-Study Programme;9.33;1;english-for-everyone-2-beginner-practice-book-a-complete-self-study-programme;1;;Dorling Kindersley;;;L30646;1;9.78024E+12
Для взрослых/Учебные;English for Everyone 2 Beginner Course Book: A Complete Self-Study Programme;12.13;1;english-for-everyone-2-beginner-course-book-a-complete-self-study-programme;1;0;Dorling Kindersley;;;L30645;1;9.78024E+12
Для взрослых/Учебные;English for Everyone 1 Beginner Practice Book: A Complete Self-Study Programme;9.33;1;english-for-everyone-1-beginner-practice-book-a-complete-self-study-programme;1;0;Dorling Kindersley;;;L30644;1;9.78024E+12
