Номенклатура/ Характеристика номенклатури;Изд группа (св-во Номенклатура);Издательство (св-во Номенклатура);Автор (св-во Номенклатура);Номенклатура.Артикул ;Серия (св-во Номенклатура);Номер дозволу МОтаН (св-во Номенклатура);Новые поступления;Цена изменена;Рекомендованая розничная ;
        100 Places to Go Before They Disappear [Hardcover];;;;9.78142E+12;;;Нет;Нет;689.00 грн;шт
        Abstract City;;;Niemann, Ch.;9.78142E+12;;;Нет;Нет;647.00 грн;шт
        Altman [Hardcover];;;Altman, K.R.;9.78142E+12;;;Нет;Нет;897.00 грн;шт
        Berlin Street Style: A Guide to Urban Chic;;;Taschen, A.;9.78142E+12;;;Нет;Нет;646.00 грн;шт
        British Table,The: A New Look at the Traditional Cooking of England, Scotland, and Wales;;;;9.78142E+12;;Abrams;Нет;Нет;1 215.00 грн;шт
        Chanel: The Art of Creating Fragrance: Flowers of the French Riviera;;;Pailles, L.;9.78142E+12;;Abrams;Нет;Нет;5 063.00 грн;шт
        Classic Greek Masterpieces of Sculpture;;;Zaphiropoulou, Ph.;9.78142E+12;;Abrams;Нет;Нет;891.00 грн;шт
        Collected: Living with the Things You Love;;;Karsh, F.;9.78142E+12;;;Нет;Нет;966.00 грн;шт
        Commando: The Autobiography of Johnny Ramone;;;Ramone, J.;9.78081E+12;;;Нет;Нет;610.00 грн;шт
        Cosmigraphics: Picturing Space Through Time;;;Benson, M.;9.78142E+12;;;Нет;Нет;1 076.00 грн;шт
        Elle Decor: The Height of Style ;;;Boodro, M.;9.78142E+12;;;Нет;Нет;1 134.00 грн;шт
        Fifty Places to Paddle Before You Die ;;;Santella, Ch.;9.78162E+12;;;Нет;Нет;619.00 грн;шт
        Legends of the Blues [Hardcover];;;Stout, W.;9.78142E+12;;;Нет;Нет;503.00 грн;шт
        Leonardo da Vinci: The Complete Paintings;;;Marani, P.;9.78081E+12;;;Нет;Нет;966.00 грн;шт
        Lillian Bassman: Lingerie;;;Bassman, L.;9.78142E+12;;;Нет;Нет;810.00 грн;шт
        Louis Vuitton: 100 Legendary Trunks ;;;Forte, P.-L.;9.78081E+12;;;Нет;Нет;2 826.00 грн;шт
        Louvre [Hardcover];;;Soulie, D.;9.78081E+12;;;Нет;Нет;810.00 грн;шт
        Memories of Philippine Kitchens;;;Besa, A.;9.78158E+12;;;Нет;Нет;610.00 грн;шт
        Men and Style: Essays, Interviews, and Considerations;;;Coggins, D.;9.78142E+12;;Abrams;Нет;Нет;770.00 грн;шт
        Multifacets: Swarovski [Hardcover];;;Colin, N.;9.78142E+12;;;Нет;Нет;1 413.00 грн;шт
        Paris Street Style [Paperback];;;Thomas, I.;9.78142E+12;;;Нет;Нет;646.00 грн;шт
        Paul Smith: A to Z;;;Smith, P.J. ;9.78142E+12;;;Нет;Нет;725.00 грн;шт
        Places to Go, People to See;;;Spade, K.;9.78142E+12;;;Нет;Нет;1 013.00 грн;шт
        Prada;;;;9.78889E+12;;;Нет;Нет;2 858.00 грн;шт
        Rock Seen;;;Gruen, B.;9.78081E+12;;;Нет;Нет;1 215.00 грн;шт
        Saint Laurent Rive Gauche: Fashion Revolution ;;;Berg?, P.;9.78142E+12;;;Нет;Нет;810.00 грн;шт
        Saints;;;;9.78081E+12;;;Нет;Нет;403.00 грн;шт
        Simpsons Family History,The [Hardcover];;;Groening, M.;9.78142E+12;;;Нет;Нет;891.00 грн;шт
